comparison	chr	position	fst	nk	maf	mgc	hwe	min_ind	min_loci	LD
B~C	1	500	0.0240728692257645	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	699	-0.00574712643678159	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	1100	0.0344827586206897	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	1299	0.0894841835280707	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	1800	-0.00862068965517241	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	2300	-0.0179499291450165	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	4400	0.0172413793103447	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	4400	-0.0163339382940109	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	5599	-0.00871977804201349	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	5599	-0.0172192466026294	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	5999	-0.0102768812638016	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	6100	-0.0163339382940109	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	6800	0.0483654276757725	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	7400	0.0799071618037135	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	7800	0.00689655172413795	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	8300	0.0308529945553539	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	8800	0.0344827586206897	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	9600	-0.0109717868338558	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	10300	-0.0109717868338558	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	11400	0.0172413793103447	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	11700	-0.0134780325573254	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	11900	0.0144454799627213	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	12200	0.0281306715063521	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	12300	-0.00443554156531692	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	13800	-0.0122954608486641	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	15800	-0.0169491525423729	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	16200	0.0165328294756731	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	16400	-0.0112496943017853	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	17600	-0.00229885057471264	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	18200	-0.0130585594776576	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	18300	-0.0150166852057842	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	18600	0.0517241379310345	120	0	1	0.000001	0.3	0.3	FALSE
B~C	1	19800	-0.0129310344827586	120	0	1	0.000001	0.3	0.3	FALSE
